CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50042713,TUTI BAR & LOUNGE (MARMAR PARK AVE),Manhattan,114,EAST   32 STREET,10016,American,5/8/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,34,C,5/8/2024,40.7454578,-73.98151146,105,2,7200,1018470,1008870088,MN20,
50075175,OUR VODKA,Manhattan,151,WEST   26 STREET,10001,American,1/31/2024,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,12,A,1/31/2024,40.74542064,-73.99287237,105,3,9500,1015034,1008020008,MN17,
50151269,LOOK DEER SUSHI,Brooklyn,1708,EAST   16 STREET,11229,Japanese,6/12/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,24,N,,40.60784746,-73.95717502,315,48,55200,3182979,3067980013,BK44,
50139541,REAL SABOR,Manhattan,206,AUDUBON AVENUE,10033,Spanish,2/20/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,19,N,,40.84512194,-73.93498494,112,10,26100,1063221,1021330020,MN36,
50002480,CARNEGIE HALL-WEILL CAFE,Manhattan,881,7 AVENUE,10019,American,8/5/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,8/5/2024,40.76493443,-73.98044469,105,4,13700,1023449,1010090001,MN17,
50127837,PARIS BAGUETTE,Queens,3738,JUNCTION BLVD,11368,French,8/21/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,8/21/2024,40.75071913,-73.87036415,403,21,27300,4036660,4014840025,QN28,
50043035,SUBWAY,Queens,8020,JAMAICA AVE,11421,Sandwiches,5/9/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customerâ€™s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,8,A,5/9/2024,40.69221776,-73.86153896,409,32,1000,4183702,4089190006,QN53,
50130600,YUJU'S BOB-SANG,Queens,15226,NORTHERN BLVD,11354,Korean,6/13/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,6/13/2024,40.76488941,-73.812147,407,20,115500,4119194,4052660011,QN51,
50089786,NEXUS CLUB NEW YORK,Manhattan,100,CHURCH STREET,10007,American,3/14/2024,Violations were cited in the following area(s).,04C,Food worker/food vendor does not use utensil or other barrier to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,25,B,3/14/2024,40.71296087,-74.00949045,101,1,2100,1001409,1001250020,MN24,
50149401,SUGABOX,Manhattan,55A,BAYARD STREET,10013,Coffee/Tea,8/6/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,17,N,,40.71519273,-73.99729454,103,1,2900,1001795,1001630027,MN27,
50041653,BLACK SEED BAGELS,Manhattan,176,1 AVENUE,10009,Bagels/Pretzels,2/28/2024,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,9,A,2/28/2024,40.72916527,-73.98412822,103,2,3400,1077664,1004380006,MN22,
41581429,DAVID'S BAGELS,Manhattan,273,1 AVENUE,10003,American,7/18/2024,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,7/18/2024,40.73243117,-73.98164498,106,2,4800,1020425,1009220024,MN21,
50098348,PLAYA BOWLS,Manhattan,108,MACDOUGAL STREET,10012,"Juice, Smoothies, Fruit Salads",5/8/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,17,B,5/8/2024,40.7294875,-74.00090202,102,2,6500,1008691,1005400003,MN23,
40374136,TONY'S PIER RESTAURANT,Bronx,1,CITY ISLAND AVENUE,10464,Seafood,10/24/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,10/24/2024,40.83765897,-73.78292064,210,13,51600,2097766,2056240130,BX10,
41477055,PAPASITO MEXICAN GRILL,Manhattan,223,DYCKMAN STREET,10034,Mexican,8/29/2024,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,10,A,8/29/2024,40.86572765,-73.9274879,112,10,29500,1064934,1022370001,MN01,
41012338,SLAINTE,Manhattan,304,BOWERY,10012,Irish,5/9/2024,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,5/9/2024,40.72464823,-73.99242723,102,1,5502,1008204,1005217503,MN23,
41299756,LAS CHATAS TAQUERIA & DELI GROCERY,Bronx,599,EAST  184 STREET,10458,Mexican,3/27/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,9,A,3/27/2024,40.85370858,-73.88966104,206,15,39100,2011882,2030650001,BX06,
41695393,DUNKIN,Manhattan,484,9 AVENUE,10018,Donuts,4/12/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,4/12/2024,40.75537325,-73.99484568,104,3,11100,1013612,1007610001,MN13,
50003475,MADISON CAFE,Bronx,463,WILLIS AVENUE,10455,American,2/20/2024,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,25,B,2/20/2024,40.8139894,-73.91931846,201,8,4300,2099666,2023070015,BX39,
50008750,THE ADIRONDACK,Brooklyn,1241,PROSPECT AVENUE,11218,American,7/24/2024,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,13,A,7/24/2024,40.65253254,-73.97602697,307,39,50202,3122576,3052770017,BK40,
40604004,WRAP N RUN GRILL,Manhattan,1125,LEXINGTON AVENUE,10075,American,3/14/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,43,C,3/14/2024,40.77437085,-73.95930964,108,4,14000,1043239,1014130020,MN40,
50146306,14615 YUMMY TACO,Queens,14615,ROCKAWAY BLVD,11436,Mexican,4/10/2024,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,17,N,,40.67346343,-73.79134133,412,28,18401,4312692,4120500223,QN76,
41230254,BKNY THAI RESTAURANT,Queens,4711,FRANCIS LEWIS BOULEVARD,11361,Thai,2/5/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 Â°F; smoked or processed fish held above 38 Â°F; intact raw eggs held above 45 Â°F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,2/5/2024,40.75296453,-73.78032105,411,20,145102,4127142,4056200001,QN46,
50002114,POPEYES,Brooklyn,6013,7 AVENUE,11220,Chicken,1/4/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,1/4/2024,40.63667509,-74.01189358,307,43,11800,3143584,3057850001,BK34,
50131533,PANADERIA LOS TRES REYES,Queens,5408,FLUSHING AVE,11378,Bakery Products/Desserts,6/7/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,6/7/2024,40.71512694,-73.91315831,405,30,53500,4059181,4026350003,QN30,
50115214,HALAL MUNCHIES,Queens,12036,QUEENS BLVD,11415,Middle Eastern,6/10/2024,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,12,A,6/10/2024,40.71343477,-73.82893257,409,29,21600,4080151,4033580013,QN60,
50038038,BAGELS & COMPANY,Manhattan,172,WEST   79 STREET,10024,Jewish/Kosher,11/4/2024,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,9,A,11/4/2024,40.78273086,-73.97737735,107,6,16500,1030267,1011507504,MN12,
41625945,WOLFGANG'S STEAKHOUSE,Manhattan,620,8 AVENUE,10018,Steakhouse,10/22/2024,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,2,A,10/22/2024,40.75603172,-73.99065138,105,3,11300,1087186,1010127501,MN17,
50125002,THE BOIL,Brooklyn,242,FLATBUSH AVENUE,11217,Seafood,5/2/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,40,N,,40.6803451,-73.97476586,306,39,12902,3397498,3009330043,BK37,
50097947,AARON'S CHINESE AND THAI,Manhattan,338,9 AVENUE,10001,Chinese,10/22/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 Â°F; smoked or processed fish held above 38 Â°F; intact raw eggs held above 45 Â°F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,39,Z,10/22/2024,40.75048493,-73.99840473,104,3,9700,1013467,1007530004,MN13,
50102137,NEW TOP TACO & CHINA,Brooklyn,1654,SHEEPSHEAD BAY ROAD,11235,Tex-Mex,10/2/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A,10/2/2024,40.58650209,-73.95234995,315,48,60600,3204920,3074590034,BK17,
41227024,CHEBURECHNAYA,Queens,9209,63 DRIVE,11374,Eastern European,3/21/2024,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,3/21/2024,40.72751027,-73.86401978,406,29,69300,4072456,4030940042,QN18,
50039007,COURT STREET GROCER'S LAGUARDIA PLACE,Manhattan,540,LAGUARDIA PLACE,10012,American,3/21/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,33,Z,3/21/2024,40.7286476,-73.99846299,102,2,6500,1077797,1005370025,MN23,
50142393,CAPITAL ONE CAFE HAROLD SQUARE,Manhattan,1328,BROADWAY,10001,American,2/15/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,9,A,2/15/2024,40.75030859,-73.98737865,105,4,7600,1015867,1008360001,MN17,
40814142,STARBUCKS,Manhattan,150,VARICK STREET,10013,Coffee/Tea,6/3/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,6/3/2024,40.72613601,-74.00569323,102,3,3700,1007817,1005050001,MN24,
40795021,TAO RESTAURANT,Manhattan,42,EAST   58 STREET,10022,Asian/Asian Fusion,3/14/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,12,A,3/14/2024,40.76278616,-73.97148562,105,4,11202,1036073,1012930047,MN17,
50014033,HAPPY KITCHEN,Queens,21529,JAMAICA AVE,11428,Chinese,5/2/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,22,Z,5/2/2024,40.7173484,-73.73968232,413,23,56600,4226337,4106080055,QN34,
50113957,BK BURRITO MEXICAN FOOD,Brooklyn,3914,FORT HAMILTON PARKWAY,11218,Tex-Mex,10/21/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,10/21/2024,40.64304596,-73.99068169,312,38,11000,3135241,3055840040,BK34,
50140576,BORA BORA,Brooklyn,408,JAY STREET,11201,"Juice, Smoothies, Fruit Salads",5/15/2024,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,58,N,,40.69189444,-73.98733206,302,33,1100,3000371,3001500001,BK38,
50149041,DELLA VALLE RESTAURANT & BAR,Brooklyn,1238,PROSPECT AVENUE,11218,Italian,9/24/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,9/24/2024,40.65301016,-73.97614573,307,39,50202,3122464,3052740021,BK40,
50101988,HI HELLO CREPES,Brooklyn,192,GRAHAM AVENUE,11206,Coffee/Tea,4/1/2024,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,4/1/2024,40.70842115,-73.94337141,301,34,49300,3070987,3030440001,BK78,
50136137,POPEYES,Bronx,360,BAYCHESTER AVENUE,10475,Chicken,7/22/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 Â°F; smoked or processed fish held above 38 Â°F; intact raw eggs held above 45 Â°F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,58,C,7/22/2024,40.86814659,-73.83143638,210,12,46201,2101227,2051411150,BX13,
50150513,NO. 9 FRIED BUN,Brooklyn,808,57 STREET,11220,Chinese,10/2/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,29,N,,40.63690603,-74.00733578,312,43,10400,3140168,3056930010,BK34,
50129745,KENNEDY CHICKEN & PIZZA,Bronx,2371,GRAND CONCOURSE,10468,Chicken,6/3/2024,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,23,N,,40.85915717,-73.89893561,205,14,23703,2013785,2031640046,BX40,
40388672,NECTAR RESTAURANT,Manhattan,1090,MADISON AVENUE,10028,American,8/15/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,8/15/2024,40.77812894,-73.960813,108,4,14200,1046733,1014937503,MN40,
50060323,PIEROGI BOYS,Brooklyn,445,GOLD ST,11201,Polish,4/10/2024,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,12,A,4/10/2024,40.69082623,-73.98345225,302,33,1500,3397861,3001497501,BK38,
50152816,CHI CHICKEN,Queens,4259,HUNTER ST,11101,Asian/Asian Fusion,9/21/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A,9/21/2024,40.74878679,-73.94014651,402,26,1900,4539128,4004320106,QN31,
50008894,IVAN RAMEN,Manhattan,25,CLINTON STREET,10002,Japanese,5/8/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customerâ€™s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,25,Z,5/8/2024,40.72056869,-73.98431065,103,2,3001,1004251,1003500029,MN27,
50101656,OSLO COFFEE ROASTERS,Manhattan,620,WEST   42 STREET,10036,Coffee/Tea,5/2/2024,Violations were cited in the following area(s).,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",Not Critical,13,A,5/2/2024,40.76119225,-73.99923473,104,3,11700,1085962,1010897502,MN13,
50149975,LOS MUNCHIES,Bronx,3421,JEROME AVENUE,10467,Latin American,9/25/2024,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 Â°F to 70 Â°F or less within 2 hours, and from 70 Â°F to 41 Â°F or less within 4 additional hours.",Critical,36,N,,40.88119868,-73.88299012,207,11,42100,2017716,2033240164,BX43,
50119758,BLACK SEED BAGELS,Brooklyn,214,BERRY STREET,11249,Bagels/Pretzels,11/4/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,11/4/2024,40.71606746,-73.9617695,301,34,55500,3000000,3023580019,BK73,
50099089,BATESY'S,Queens,6820,ROCKAWAY BEACH BLVD,11692,American,6/13/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,3,A,6/13/2024,40.59038366,-73.79719715,414,31,95400,4541673,4159180001,QN12,
50137189,JOEY BATS CAFE,Manhattan,409,WEST   15 STREET,10011,Other,9/12/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,17,N,,40.74193762,-74.00555385,104,3,8300,1012541,1007130001,MN13,
50144809,SWOONY'S BAR & GRILL,Brooklyn,215,COLUMBIA STREET,11231,American,5/17/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customerâ€™s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,10,A,5/17/2024,40.68474223,-74.00282681,306,39,5100,3004261,3003360006,BK33,
50142941,PICAZO'S PIZZA & RESTAURANT PLACE,Brooklyn,871,3 AVENUE,11232,Spanish,1/3/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customerâ€™s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,11,A,1/3/2024,40.65766222,-74.00418083,307,38,10100,3010072,3006800012,BK32,
50088740,CHILLATO,Queens,1716,154TH ST,11357,Frozen Desserts,6/6/2024,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,13,A,6/6/2024,40.78319093,-73.80849501,407,19,102900,4106740,4047030042,QN49,
40605839,OFF SHORE RESTAURANT,Brooklyn,7822,3 AVENUE,11209,American,2/20/2024,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,12,A,2/20/2024,40.62906629,-74.02877766,310,43,6400,3150261,3059680050,BK31,
50146157,PRET A MANGER,Manhattan,342,7 AVENUE,10001,American,3/12/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customerâ€™s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,7,A,3/12/2024,40.74798699,-73.99281796,105,3,9500,1014289,1007790036,MN17,
40396183,HEAVEN CAN WAIT,Manhattan,169,AVENUE A,10009,American,5/16/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,5/16/2024,40.72821252,-73.98196726,103,2,3400,1005946,1004380029,MN22,
50085734,KOGANE RAMEN,Manhattan,337,WEST   14 STREET,10014,Japanese,6/6/2024,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,13,A,6/6/2024,40.74048844,-74.00426543,104,3,8300,1013009,1007380014,MN13,
41568366,VISTA SKY LOUNGE & CATERING (SHERATON FOUR POINTS),Queens,2705,39 AVENUE,11101,American,10/9/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,10/9/2024,40.75426851,-73.93586442,401,26,3100,4539251,4003860033,QN68,
50078061,ROAST&CO,Queens,8260,AUSTIN ST,11415,Coffee/Tea,7/2/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A,7/2/2024,40.70970638,-73.83011084,409,29,77500,4079716,4033370076,QN60,
50038374,TUK TUK,Queens,4906,VERNON BLVD,11101,Thai,10/19/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,10/19/2024,40.74327893,-73.95392631,402,26,700,4000147,4000320050,QN31,
50134377,LAS TRES,Queens,13102,14TH AVE,11356,Latin American,6/13/2024,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishmentâ€™s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,12,A,6/13/2024,40.78610355,-73.83723495,407,19,94500,4098535,4040990023,QN49,
50106176,DEXTER'S KITCHEN,Queens,8717,LEFFERTS BLVD,11418,Caribbean,6/24/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,9,A,6/24/2024,40.69957624,-73.83067051,409,29,14400,4195980,4093290088,QN54,
41711425,LINCOLN STATION,Brooklyn,409,LINCOLN PLACE,11238,American,10/15/2024,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,12,A,10/15/2024,40.67254658,-73.9624903,308,35,21500,3029545,3011770001,BK64,
50018316,CAMDEN FOOD EXPRESS,Queens,NKA,JFK INTERNATIONAL AIRPORT,11430,American,2/7/2024,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,10,A,2/7/2024,40.64831283,-73.7882815,483,28,71600,4000000,4142600001,QN98,
50075625,NIFOROS COFFEE SHOP,Queens,4357,11TH ST,11101,American,5/7/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,22,B,5/7/2024,40.75053123,-73.94896223,402,26,1900,4005219,4004450014,QN31,
41265836,PARISIENNE CAFE,Bronx,2339,ARTHUR AVENUE,10458,Coffee/Tea,10/11/2024,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,10/11/2024,40.8542511,-73.88869135,206,15,39100,2011902,2030650063,BX06,
50101439,LAO SHEN HOTPOT,Queens,16034,NORTHERN BLVD,11358,Chinese,4/24/2024,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,38,C,4/24/2024,40.76275609,-73.80517876,407,20,117100,4120449,4053350064,QN51,
50010284,KAIETEUR RESTAURANT,Bronx,4379,WHITE PLAINS ROAD,10466,Caribbean,10/16/2024,Violations were cited in the following area(s).,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,11,A,10/16/2024,40.89782701,-73.85480054,212,11,41800,2069779,2050420045,BX62,
50151494,TAJADAS BAKERY RESTAURANT,Queens,9705,JAMAICA AVE,11421,Latin American,8/7/2024,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,25,N,,40.69465766,-73.84836052,409,32,2200,4182708,4088920262,QN53,
50119508,SIDEBAR CAFE,Bronx,191,EAST  161 STREET,10451,American,3/26/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,34,C,3/26/2024,40.82647393,-73.92139539,204,16,18301,2002806,2024600025,BX14,
50077270,NY GO GO FAST FOOD,Queens,13546,ROOSEVELT AVE,11354,Chinese,7/5/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,72,Z,7/5/2024,40.75923165,-73.83105612,407,20,87100,4114119,4050360036,QN22,
50070118,BARCKLAYS PIZZA & PASTA,Brooklyn,916,FULTON STREET,11238,Pizza,4/1/2024,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,6,A,4/1/2024,40.68293065,-73.96433047,302,35,20100,3335106,3020130030,BK69,
50145462,BURGERS BAR,Brooklyn,1775,CONEY ISLAND AVENUE,11230,Jewish/Kosher,8/7/2024,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishmentâ€™s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,44,N,,40.61402805,-73.96312841,314,48,54200,3429339,3067490078,BK43,
50145622,BBQ CHICKEN,Queens,15823,NORTHERN BLVD,11358,Korean,3/28/2024,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,20,N,,40.76340427,-73.80705401,407,19,117100,4119306,4052740001,QN51,
41372518,SHUN FAT KITCHEN,Brooklyn,1716,PITKIN AVENUE,11212,Chinese,4/17/2024,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,13,A,4/17/2024,40.66978628,-73.90994079,316,41,90600,3338516,3035220021,BK81,
50133101,TOST,Queens,6010,KISSENA BLVD,11355,American,6/13/2024,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishmentâ€™s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,63,Z,6/13/2024,40.73980709,-73.81513016,407,20,83700,4141523,4064410025,QN62,
